Challenge Date,IP Address,User Agent,Country,Challenge Type
Mon Aug 25 23:47:31 UTC 2025,2a09:bac3:c7b1:2828:0:0:400:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Safari/605.1.15",Unknown,EMAIL_PIN_CHALLENGE
Mon Aug 25 23:47:55 UTC 2025,2a09:bac3:c7b1:2828:0:0:400:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Safari/605.1.15",Unknown,EMAIL_PIN_CHALLENGE
Wed Oct 22 00:26:57 UTC 2025,2a09:bac3:c6fc:2446:0:0:39d:51,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",Unknown,EMAIL_PIN_CHALLENGE
Wed Oct 22 00:26:57 UTC 2025,2a09:bac3:c6fc:2446:0:0:39d:51,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",Unknown,EMAIL_PIN_CHALLENGE
Tue Mar 17 01:08:00 UTC 2026,2607:b400:24:0:7964:eb22:d07d:f56d,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.8586.3 iPad:26.2,United States,EMAIL_PIN_CHALLENGE
Tue Mar 17 01:08:00 UTC 2026,2607:b400:24:0:7964:eb22:d07d:f56d,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.8586.3 iPad:26.2,United States,EMAIL_PIN_CHALLENGE
Tue Mar 17 01:08:54 UTC 2026,2607:b400:24:0:7964:eb22:d07d:f56d,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.8586.3 iPad:26.2,United States,EMAIL_PIN_CHALLENGE
Mon May 11 00:32:08 UTC 2026,45.3.73.246,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Mon May 11 00:33:09 UTC 2026,2607:b400:24:0:99ad:abd3:917e:e100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.32.552",United States,SSP_BLOCKING_CHALLENGE
Mon May 11 00:33:10 UTC 2026,2607:b400:24:0:99ad:abd3:917e:e100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.32.552",United States,LINKEDIN_APP_CHALLENGE
Mon May 11 00:33:11 UTC 2026,45.3.73.246,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Mon Jun 15 14:45:38 UTC 2026,155.190.9.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0",United States,SSP_BLOCKING_CHALLENGE
Tue Jun 30 22:27:03 UTC 2026,73.91.154.109,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0",United States,EMAIL_PIN_CHALLENGE
Tue Jun 30 22:27:03 UTC 2026,73.91.154.109,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0",United States,EMAIL_PIN_CHALLENGE
Tue Jun 30 22:27:25 UTC 2026,73.91.154.109,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0",United States,EMAIL_PIN_CHALLENGE
